Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
1LSU;STEEL MAST;:  ROOF;:;;;1LSU;30.4074;268.8197;-6.487;-113402.8795;-5504361.3939;3209404.2335;2003-04-23;2022-09-24;2022-10-01;6636.0;
1NSU;STEEL MAST;:  ROOF;:;;;1NSU;31.7508;266.9024;28.071;-293349.5323;-5420742.3561;3336980.8353;2004-01-16;2022-09-24;2022-10-01;6710.0;
1ULM;STEEL MAST;:  ROOF;:;;;1ULM;32.529;267.9241;16.0;-194982.0141;-5379221.9515;3410046.833;2003-06-14;2022-09-24;2022-10-01;6814.0;
34A1;PERMANENT STATION UNSPECIFIED;:;:;;;34A1;41.8387;240.346;1907.677;-2355255.8623;-4136920.1139;4233541.9024;2015-03-16;2016-04-29;2022-05-10;99.0;
34A2;PERMANENT STATION UNSPECIFIED;:;:;;;34A2;41.8531;240.3926;1862.779;-2351343.163;-4137874.1378;4234708.7113;2015-03-20;2016-10-18;2022-05-10;148.0;
34A3;PERMANENT STATION UNSPECIFIED;:;:;;;34A3;41.8507;240.4229;1831.947;-2349236.2215;-4139247.3496;4234490.9842;2015-03-18;2016-04-28;2022-05-10;64.0;
34A4;PERMANENT STATION UNSPECIFIED;:;:;;;34A4;41.8666;240.5052;1708.216;-2342662.2508;-4141514.2631;4235721.3273;2015-03-18;2016-04-28;2022-05-10;98.0;
34NO;PERMANENT STATION UNSPECIFIED;:;:;;;34NO;41.9291;240.2914;1768.973;-2355818.5174;-4128755.3272;4240933.7708;2015-03-14;2016-04-28;2022-05-10;102.0;
34SO;PERMANENT STATION UNSPECIFIED;:;:;;;34SO;41.8059;240.2932;1705.89;-2360200.469;-4136724.4522;4230693.0455;2015-03-14;2016-04-29;2022-05-10;102.0;
7OAK;Steel Pin in Rock;:  UNKNOWN;:;;;7OAK;37.595;245.2409;1713.278;-2119707.4227;-4596082.9515;3870967.7786;2010-10-18;2022-09-13;2022-09-25;305.0;
7ODM;Wyatt/Agnew drilled-braced;:;: Bedrock;;;7ODM;34.1164;242.9068;762.072;-2407750.878;-4706536.7233;3557571.3926;2001-04-20;2021-03-03;2022-05-10;5931.0;
ABAN;:;:                      :;;;;ABAN;38.1751;358.9463;207.753;5019756.9427;-92324.1141;3920866.4967;2009-09-01;2022-09-17;2022-09-25;4166.0;
ABQ5;STEEL TOWER;:;:;;;ABQ5;34.9574;253.5055;1719.74;-1486206.9395;-5019130.4707;3634977.9941;2002-10-24;2016-08-04;2022-05-10;4581.0;
ABQ6;STEEL TOWER;:;:;;;ABQ6;34.9571;253.5055;1720.65;-1486213.0782;-5019145.7911;3634956.0764;2002-10-24;2016-08-04;2022-05-10;4411.0;
ABRN;Steel Pin in Rock;:  UNKNOWN;:;;;ABRN;42.7607;239.8997;1370.484;-2352627.9657;-4058454.5528;4308955.5792;2015-02-26;2021-06-17;2022-05-10;159.0;
ACAL;:;:                      :;;;;ACAL;37.7308;359.1392;67.368;5050254.9684;-75879.398;3881893.9911;2015-02-24;2022-09-17;2022-09-25;2247.0;
ACHT;STEEL MAST;6.00;CONCRETE PAD;1.20;GRAVEL;ACHT;45.5128;298.9734;21.02;2168735.6198;-3916792.4077;4527480.15;2014-08-23;2022-09-24;2022-10-01;2943.0;
ACIN;STEEL MAST ANCHORED TO WALL;1.5;ROOF;:;;ACIN;40.4089;358.5632;1178.322;4862768.0973;-121966.0309;4113424.5867;2010-03-31;2019-12-31;2022-05-10;2658.0;
ACNS;PILLAR;1.5;CONCRETE BLOCK ON ROOF;0.5                :;;ACNS;41.7001;353.6479;871.222;4740593.4514;-527730.5859;4221366.9739;2008-02-19;2022-09-17;2022-09-25;5264.0;
ACOR;STEEL MAST;3;CONCRETE BLOCK;2;CONGLOMERATE;ACOR;43.3644;351.6011;66.916;4594489.7469;-678367.8806;4357066.0719;1998-12-11;2022-09-17;2022-09-25;8189.0;
ACSB;DEEP-DRILLED BRACED;:;:;;;ACSB;33.2743;242.5551;-12.296;-2460183.5738;-4737087.498;3479422.7215;2013-12-04;2022-09-24;2022-10-01;3210.0;
ACSO;DEEP-DRILLED BRACED;:;:;;;ACSO;40.2324;277.0185;248.174;595828.2307;-4839733.9168;4097876.5926;2006-08-20;2022-09-24;2022-10-01;4838.0;
ACSX;DEEP-DRILLED BRACED;:;:;;;ACSX;33.2743;242.5551;-12.291;-2460183.6467;-4737087.4397;3479422.7579;2016-04-22;2022-09-24;2022-10-01;2340.0;
ACU2;STEEL TOWER;:;:;;;ACU2;41.7436;289.1135;3.659;1560585.5906;-4503266.288;4224402.1482;2002-03-09;2004-02-20;2022-05-10;234.0;
ACU5;STEEL TOWER;:;:;;;ACU5;41.7436;289.113;5.286;1560550.4669;-4503284.5783;4224398.1126;2002-03-09;2020-06-30;2022-05-10;5969.0;
ACU6;STEEL TOWER;:;:;;;ACU6;41.7433;289.1134;5.021;1560586.4347;-4503296.253;4224372.1533;2004-02-21;2020-06-25;2022-05-10;5290.0;
ADKS;BOREHOLE EXTENSOMETER;:;:;;;ADKS;29.791;264.4136;2.831;-539282.7289;-5513496.8493;3150287.2103;2002-02-20;2022-09-24;2022-10-01;6475.0;
ADLL;Steel Pin in Rock;:  UNKNOWN;:;;;ADLL;42.1964;239.9933;1545.864;-2367239.9482;-4099071.0162;4262828.5177;2015-02-27;2021-06-16;2022-05-10;283.0;
ADRI;PILLAR;1.52;POURED CONCRETE CYLINDER;3.66               :;;ADRI;41.919;275.9757;205.96;494838.1799;-4727340.1263;4239050.3237;2002-02-05;2022-09-24;2022-10-01;6931.0;
ADVT;STEEL MAST;4.00;CONCRETE BLOCK;1.00;PIT RUN GRAVEL;ADVT;45.3409;295.2123;-9.457;1912927.3515;-4062906.7137;4514053.6284;2015-09-23;2022-09-24;2022-10-01;2543.0;
AGMT;SHALLOW DRILLED-BRACED;:;: Bedrock;;;AGMT;34.5943;243.5706;1337.823;-2339956.2015;-4707748.8375;3601666.0835;1999-12-22;2022-09-24;2022-10-01;8267.0;
AGNS;SHORT-DRILLED BRACED;:;:;;;AGNS;42.5528;235.9409;51.368;-2635435.8109;-3898512.0425;4291069.0522;2021-06-18;2022-09-24;2022-10-01;463.0;
AGRD;STEEL MAST;1.5;ROOF;0                  :;;AGRD;41.849;358.0694;1010.901;4756259.3162;-160320.9323;4233796.8767;2007-05-01;2022-09-17;2022-09-25;5382.0;
AGUA;Steel Pin in Rock;:  UNKNOWN;:;;;AGUA;34.2479;247.9415;978.644;-1982413.2067;-4892248.6355;3569760.2371;2010-10-25;2019-03-03;2022-05-10;1710.0;
AGUE;STEEL MAST;:;:;;;AGUE;40.5756;351.5531;102.99;4798831.6998;-712643.1913;4126805.5533;2008-10-24;2022-06-01;2022-06-16;4858.0;
AGUI;MAST;:  WALL;:;;;AGUI;27.9039;344.5542;329.127;5437265.7452;-1502353.0304;2967249.808;2010-04-06;2022-06-14;2022-09-03;4159.0;
AHID;SHALLOW FOUNDATION MAST;:  UNKNOWN;:;;;AHID;42.7731;248.9363;1975.542;-1685815.5334;-4377138.7412;4310376.0931;2000-07-07;2022-09-24;2022-10-01;7580.0;
AICI;PILLAR ON THE EDGE OF A ROOF;:  CONCRETE SLAB;:;;;AICI;43.3336;358.9856;121.401;4645961.3276;-82264.0872;4354613.6291;2011-02-18;2022-09-24;2022-10-01;4046.0;
